ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/6/2024 - 24,0.1,"2,625.9",805.4,20.4,"5,511.1",-0.3,0.6,-0.6,"1,427.1","1,754.2",0.3,-0.3,0.1,78.6,37.9,0.1,0.3,0.1,1.1,-0.1,-0.4,12.0,-0.3,0.0,0.0,0.0,18.5,0.1,0.0
05/6/2024 - 25,0.1,"2,221.1",808.5,23.5,"5,613.3",12.0,0.5,-0.7,"1,435.5","1,794.0",0.4,-0.2,0.1,"2,035.6",639.7,1.3,0.5,0.3,4.3,0.0,-0.5,12.5,-0.3,0.0,0.1,0.1,41.9,0.1,0.0
05/6/2024 - 26,0.1,"2,572.4",818.6,17.8,"5,624.2",-0.7,0.6,-0.6,"1,455.4","1,835.1",0.3,-0.3,0.1,"1,410.9",588.6,1.2,0.3,0.0,4.8,-0.1,-0.6,12.7,-0.3,0.0,0.0,0.0,36.0,0.1,0.0
05/6/2024 - 29,0.6,"3,563.4",942.3,54.3,"11,177.9",25.6,0.3,-0.3,"1,124.7","2,475.3",1.7,-0.1,0.2,99.2,18.1,0.1,0.3,0.1,-0.2,-0.2,-0.6,16.4,-0.4,0.0,0.0,0.0,18.6,0.3,0.0
05/6/2024 - 30,0.6,"3,588.2",942.6,55.9,"11,255.9",26.4,0.3,-0.3,"1,132.4","2,484.2",1.5,-0.1,0.1,80.8,17.2,0.1,0.3,0.1,0.1,-0.2,-0.5,16.3,-0.4,0.0,0.0,0.0,18.6,0.3,0.0
05/6/2024 - 71,0.4,"3,175.9","1,848.5",65.8,"7,411.8",15.7,0.9,-0.7,"1,122.3","5,707.2",2.1,0.0,0.1,392.9,58.1,0.3,0.2,2.3,2.3,-0.1,-0.5,23.7,-0.4,0.0,0.1,0.1,20.0,0.2,0.0
05/6/2024 - 72,0.4,"3,498.9","1,844.9",15.1,"7,377.9",8.0,1.1,-0.6,"1,152.7","5,870.5",0.4,-0.2,0.1,46.0,22.6,0.1,0.1,1.1,1.2,-0.1,-0.3,23.9,-0.4,0.0,0.8,0.8,17.9,0.1,0.0
05/13/2024 - 1,0.3,"3,144.1","1,051.5",21.6,"7,393.3",10.8,0.9,-0.8,951.3,"2,377.6",0.5,-0.2,0.3,320.3,23.5,0.1,0.2,1.8,5.7,-0.1,-0.4,15.3,-0.4,0.0,0.0,0.0,16.5,0.1,0.0
05/13/2024 - 2,0.3,"3,275.6","1,057.8",17.9,"7,463.9",4.2,0.9,-0.2,"1,519.1","2,373.5",0.5,-0.2,0.3,94.6,6.8,0.0,0.8,2.0,131.6,-0.1,-0.4,15.3,-0.4,0.0,0.0,0.0,17.9,0.1,0.0
05/13/2024 - 3,0.3,"3,119.2","1,044.2",20.3,"7,404.4",11.1,0.9,-0.8,950.9,"2,367.2",0.7,-0.2,0.3,315.7,23.1,0.1,0.2,1.3,9.1,-0.1,-0.5,15.3,-0.3,0.0,0.0,0.0,16.5,0.1,0.0
05/13/2024 - 4,0.3,"3,195.4","1,046.8",15.8,"7,410.3",2.4,0.9,-0.5,"1,220.5","2,351.2",0.5,-0.2,0.3,105.5,3.3,0.0,0.3,1.2,41.7,-0.1,-0.3,15.3,-0.3,0.0,0.0,0.0,17.6,0.1,0.0
05/13/2024 - 5,0.3,"3,065.4","1,017.3",19.3,"6,963.8",14.7,1.0,-0.7,"1,029.2","2,269.6",0.5,-0.2,0.3,195.4,28.4,0.1,0.2,2.4,3.3,-0.1,-0.4,14.7,-0.4,0.0,0.0,0.0,20.4,0.1,0.0
05/13/2024 - 6,0.3,"3,064.1",995.9,4.8,"6,809.9",2.3,1.0,0.2,"2,097.3","2,227.0",0.4,-0.3,0.3,27.7,3.1,0.0,0.4,2.0,59.1,-0.1,-0.5,14.6,-0.4,0.2,0.0,0.0,21.7,0.1,0.0
05/13/2024 - 7,0.3,"3,183.8","1,080.3",26.4,"7,414.6",18.4,1.0,-0.1,"1,813.6","2,488.0",1.6,-0.2,0.5,728.5,269.5,0.5,2.1,3.1,72.7,-0.1,-0.4,16.1,-0.4,0.1,0.1,0.1,29.1,0.4,0.0
05/13/2024 - 8,0.3,"3,120.5","1,064.6",14.1,"7,432.5",2.5,1.0,-0.1,"1,679.5","2,461.3",0.4,-0.3,0.3,48.9,208.9,0.3,0.5,1.2,31.6,-0.1,-0.5,16.0,-0.4,0.0,0.0,0.0,27.4,0.1,0.0
